2021-01-01,Stampfenbachstrasse,NOx,h1,ppb,12.52,tentative
2021-01-01,Stampfenbachstrasse,NO,h1,µg/m3,2.04,tentative
2021-01-01,Stampfenbachstrasse,NO2,h1,µg/m3,20.82,tentative
2021-01-01,Stampfenbachstrasse,O3,h1,µg/m3,35.95,tentative
2021-01-01,Stampfenbachstrasse,PM10,h1,µg/m3,20.15,tentative
2021-01-01,Stampfenbachstrasse,PM2.5,h1,µg/m3,17.67,tentative
2021-01-01,Schimmelstrasse,NOx,h1,ppb,18.91,tentative
2021-01-01,Schimmelstrasse,NO,h1,µg/m3,6.42,tentative
2021-01-01,Schimmelstrasse,NO2,h1,µg/m3,26.31,tentative
2021-01-01,Schimmelstrasse,O3,h1,µg/m3,31.73,tentative
2021-01-01,Schimmelstrasse,PM10,h1,µg/m3,27.49,tentative
2021-01-01,Schimmelstrasse,PM2.5,h1,µg/m3,23.63,tentative
2021-01-01,Heubeeribüel,NOx,h1,ppb,11.26,tentative
2021-01-01,Heubeeribüel,NO,h1,µg/m3,0.85,tentative
2021-01-01,Heubeeribüel,NO2,h1,µg/m3,20.23,tentative
2021-01-01,Heubeeribüel,O3,h1,µg/m3,33.83,tentative
2021-01-01,Rosengartenstrasse,NOx,h1,ppb,17.5,tentative
2021-01-01,Rosengartenstrasse,NO,h1,µg/m3,6.39,tentative
2021-01-01,Rosengartenstrasse,NO2,h1,µg/m3,23.67,tentative
2021-01-01,Rosengartenstrasse,O3,h1,µg/m3,30.84,tentative
2021-01-01,Rosengartenstrasse,PM10,h1,µg/m3,18.37,tentative
2021-01-01,Rosengartenstrasse,PM2.5,h1,µg/m3,17.84,tentative
2021-01-01,Stampfenbachstrasse,CO,h1,mg/m3,0.17,tentative
2021-01-01,Stampfenbachstrasse,SO2,h1,µg/m3,1.23,tentative
2021-01-01,Stampfenbachstrasse,NOx,h1,ppb,9.36,tentative
2021-01-01,Stampfenbachstrasse,NO,h1,µg/m3,1.25,tentative
2021-01-01,Stampfenbachstrasse,NO2,h1,µg/m3,15.98,tentative
2021-01-01,Stampfenbachstrasse,O3,h1,µg/m3,38.22,tentative
2021-01-01,Stampfenbachstrasse,PM10,h1,µg/m3,11.67,tentative
2021-01-01,Stampfenbachstrasse,PM2.5,h1,µg/m3,10.45,tentative
2021-01-01,Schimmelstrasse,NOx,h1,ppb,18.39,tentative
2021-01-01,Schimmelstrasse,NO,h1,µg/m3,6.55,tentative
2021-01-01,Schimmelstrasse,NO2,h1,µg/m3,25.14,tentative
2021-01-01,Schimmelstrasse,O3,h1,µg/m3,31.79,tentative
